epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,664.839,2.22371,3.48567,1.45951,0.36658,0.32301,0.3225,0.1352,2.10488,2.68974,1.5526,0.000662338,0.000662338,0.000662338
2,1317.36,2.16482,2.60737,1.46583,0.39639,0.44186,0.36378,0.14187,2.18032,3.00698,1.58094,0.00126322,0.00126322,0.00126322
3,1972.88,2.17301,2.2781,1.4805,0.47981,0.36919,0.36555,0.14709,2.01393,2.3943,1.46008,0.0017981,0.0017981,0.0017981
4,2617.94,2.07565,2.12849,1.43386,0.526,0.40698,0.4251,0.17475,2.07441,2.17196,1.54926,0.001703,0.001703,0.001703
5,3267.7,2.07862,2.10361,1.47175,0.45672,0.38857,0.34888,0.15334,1.99349,2.06267,1.45329,0.001604,0.001604,0.001604
6,3918,2.01952,1.96026,1.42365,0.54313,0.4147,0.45949,0.19379,1.96729,1.99346,1.42479,0.001505,0.001505,0.001505
7,4572.23,2.03909,1.91216,1.40252,0.48722,0.44767,0.44231,0.18419,2.08072,1.98319,1.50779,0.001406,0.001406,0.001406
8,5211.63,1.98753,1.89616,1.40533,0.63419,0.44767,0.49623,0.20952,2.03594,1.92909,1.47532,0.001307,0.001307,0.001307
9,5854.91,1.97533,1.86236,1.38201,0.50412,0.43314,0.3733,0.14981,1.95485,2.01989,1.40539,0.001208,0.001208,0.001208
10,6496.48,1.95833,1.82298,1.38761,0.61769,0.42733,0.49292,0.20986,1.98183,1.85099,1.46216,0.001109,0.001109,0.001109
11,7135.78,1.87627,1.80457,1.39384,0.64148,0.46292,0.53105,0.23519,1.93347,1.82637,1.41655,0.00101,0.00101,0.00101
12,7775.12,1.8534,1.7653,1.39259,0.62386,0.5,0.53611,0.24874,1.89159,1.79298,1.41434,0.000911,0.000911,0.000911
13,8416.44,1.85459,1.70779,1.39215,0.58418,0.47674,0.50442,0.22147,1.87733,1.79369,1.38191,0.000812,0.000812,0.000812
14,9056.52,1.86883,1.68769,1.40054,0.63159,0.47093,0.51964,0.23785,1.89361,1.77184,1.40696,0.000713,0.000713,0.000713
15,9698.29,1.82325,1.62957,1.36317,0.66171,0.50039,0.54156,0.24638,1.87742,1.72246,1.3862,0.000614,0.000614,0.000614
16,10338.3,1.80852,1.60513,1.36895,0.6683,0.50291,0.56051,0.25568,1.86319,1.68217,1.37541,0.000515,0.000515,0.000515
17,10977.6,1.79008,1.56902,1.35498,0.69963,0.49709,0.57459,0.26565,1.86048,1.66406,1.40545,0.000416,0.000416,0.000416
18,11617,1.78073,1.56313,1.35939,0.72428,0.51163,0.58897,0.26773,1.86246,1.6792,1.38438,0.000317,0.000317,0.000317
19,12259.1,1.75748,1.52094,1.34198,0.72715,0.51744,0.60035,0.27536,1.85979,1.65235,1.38585,0.000218,0.000218,0.000218
20,12902.7,1.75229,1.48317,1.33134,0.74845,0.51744,0.59857,0.27438,1.86346,1.61687,1.388,0.000119,0.000119,0.000119
