epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,644,2.22371,3.48567,1.45951,0.36658,0.32301,0.3225,0.1352,2.10488,2.68974,1.5526,0.000662338,0.000662338,0.000662338
2,1278,2.16328,2.57447,1.46892,0.40385,0.31977,0.28687,0.11438,2.10114,2.58964,1.48088,0.00131585,0.00131585,0.00131585
3,1906.34,2.15538,2.27073,1.47056,0.41419,0.38081,0.34449,0.15273,1.99985,2.36797,1.47096,0.00195616,0.00195616,0.00195616
4,2527.03,2.06936,2.12981,1.43965,0.48451,0.39244,0.36419,0.15189,2.09912,2.29764,1.49486,0.0019406,0.0019406,0.0019406
5,3155.85,2.09909,2.11115,1.44497,0.52121,0.42442,0.42796,0.18822,1.98395,1.99413,1.47659,0.0019208,0.0019208,0.0019208
6,3774.94,2.05866,1.96821,1.46892,0.46921,0.50291,0.46562,0.19959,2.05793,1.96652,1.46791,0.001901,0.001901,0.001901
7,4393.79,2.0334,1.97318,1.42565,0.42666,0.42733,0.37406,0.16308,1.95818,2.0489,1.4486,0.0018812,0.0018812,0.0018812
8,5013.53,2.0113,1.93871,1.42982,0.4704,0.39826,0.35999,0.14811,2.01825,2.02023,1.47604,0.0018614,0.0018614,0.0018614
9,5637.52,2.00867,1.87841,1.40302,0.51728,0.44546,0.45864,0.18431,2.0026,1.96546,1.42958,0.0018416,0.0018416,0.0018416
10,6317.64,2.00889,1.89692,1.42433,0.38064,0.35465,0.30872,0.13462,1.91753,2.20708,1.40727,0.0018218,0.0018218,0.0018218
11,6992.9,1.9927,1.82856,1.42634,0.60045,0.44998,0.48521,0.2237,1.93792,1.87498,1.46999,0.001802,0.001802,0.001802
12,7687.52,1.96938,1.84764,1.40401,0.62003,0.40407,0.47165,0.21296,1.96839,1.83258,1.45898,0.0017822,0.0017822,0.0017822
13,8379.71,1.96341,1.85261,1.40266,0.60313,0.43735,0.47039,0.21532,1.88431,1.86307,1.40809,0.0017624,0.0017624,0.0017624
14,9071.95,1.94641,1.76625,1.40598,0.54244,0.46179,0.48159,0.21561,1.93224,1.82163,1.44732,0.0017426,0.0017426,0.0017426
15,9759.75,1.93001,1.80262,1.36564,0.52157,0.44186,0.42909,0.19411,1.94025,1.9658,1.42908,0.0017228,0.0017228,0.0017228
16,10472.5,1.95205,1.77325,1.38735,0.65147,0.42733,0.50385,0.2064,2.10635,1.881,1.52188,0.001703,0.001703,0.001703
17,11161.1,1.92081,1.77609,1.37719,0.62013,0.41279,0.48407,0.21816,1.92834,1.86009,1.40495,0.0016832,0.0016832,0.0016832
18,11850.5,1.9121,1.72542,1.36761,0.64872,0.48852,0.52222,0.22999,1.90509,1.7712,1.41477,0.0016634,0.0016634,0.0016634
19,12538.9,1.9413,1.74911,1.38227,0.58884,0.42465,0.46443,0.20442,1.96223,1.94083,1.37557,0.0016436,0.0016436,0.0016436
20,13228.8,1.90367,1.72182,1.34184,0.67261,0.49419,0.56025,0.25278,1.92107,1.74012,1.42625,0.0016238,0.0016238,0.0016238
21,13927.5,1.89665,1.68275,1.33471,0.65146,0.38953,0.4762,0.20817,1.9696,1.86356,1.39888,0.001604,0.001604,0.001604
22,14617.6,1.88187,1.69853,1.34237,0.54729,0.47384,0.48315,0.2134,1.95055,1.84108,1.42809,0.0015842,0.0015842,0.0015842
23,15308.2,1.92778,1.77021,1.37147,0.60628,0.48837,0.50919,0.23125,1.89907,1.8547,1.40163,0.0015644,0.0015644,0.0015644
24,16002.5,1.87779,1.74419,1.34646,0.61381,0.37887,0.44204,0.19102,1.97576,1.98773,1.44062,0.0015446,0.0015446,0.0015446
25,16702.6,1.89769,1.71063,1.34282,0.63176,0.46512,0.52458,0.23611,1.94631,1.73389,1.43184,0.0015248,0.0015248,0.0015248
26,17390.6,1.8675,1.69236,1.35479,0.65035,0.51744,0.56022,0.24534,1.93904,1.75729,1.4397,0.001505,0.001505,0.001505
27,18086.1,1.88604,1.64904,1.35041,0.55185,0.46802,0.47195,0.20518,1.90392,2.11268,1.38935,0.0014852,0.0014852,0.0014852
28,18775.1,1.8405,1.62366,1.32154,0.65522,0.47384,0.53296,0.24207,1.91463,1.74072,1.41733,0.0014654,0.0014654,0.0014654
29,19465.1,1.84805,1.62436,1.33951,0.68554,0.5,0.55908,0.25279,1.87939,1.69147,1.40164,0.0014456,0.0014456,0.0014456
30,20156.8,1.83221,1.65841,1.31662,0.70366,0.43486,0.5218,0.24042,1.8575,1.82236,1.37115,0.0014258,0.0014258,0.0014258
31,20854.3,1.83907,1.63179,1.31445,0.6336,0.46221,0.51381,0.22745,1.9507,1.76209,1.44663,0.001406,0.001406,0.001406
32,21540.3,1.82202,1.61264,1.29787,0.64568,0.51385,0.55142,0.24742,1.92072,1.70944,1.42441,0.0013862,0.0013862,0.0013862
33,22232.5,1.86112,1.58986,1.33431,0.6111,0.38953,0.44649,0.20794,1.93892,1.93057,1.4343,0.0013664,0.0013664,0.0013664
34,22921.5,1.84123,1.64632,1.32221,0.69005,0.51744,0.57383,0.24947,1.91269,1.70361,1.39799,0.0013466,0.0013466,0.0013466
35,23616.5,1.83674,1.57214,1.3045,0.66996,0.47384,0.54021,0.2476,1.90424,1.75205,1.39598,0.0013268,0.0013268,0.0013268
36,24312.2,1.78869,1.53223,1.28774,0.71239,0.51453,0.57811,0.26206,1.9273,1.64135,1.4225,0.001307,0.001307,0.001307
37,25003.7,1.81675,1.54537,1.30372,0.5899,0.51453,0.54039,0.23976,1.92561,1.72317,1.41651,0.0012872,0.0012872,0.0012872
38,25690.5,1.80505,1.51017,1.313,0.69924,0.42151,0.51893,0.22765,1.96455,1.76512,1.45541,0.0012674,0.0012674,0.0012674
39,26386.1,1.81045,1.54938,1.30972,0.61183,0.44767,0.47279,0.20543,1.97741,1.87501,1.4197,0.0012476,0.0012476,0.0012476
40,27081.8,1.80351,1.5648,1.29829,0.56367,0.49419,0.49912,0.2206,1.85973,1.7367,1.37764,0.0012278,0.0012278,0.0012278
41,27774.2,1.79153,1.51533,1.29077,0.66508,0.51163,0.55473,0.24289,1.92424,1.67583,1.42651,0.001208,0.001208,0.001208
42,28472,1.7842,1.54572,1.30246,0.63158,0.45349,0.52392,0.23591,1.90191,1.77029,1.41963,0.0011882,0.0011882,0.0011882
43,29183.7,1.79987,1.55016,1.31527,0.65603,0.54651,0.57202,0.25566,1.89454,1.64043,1.42357,0.0011684,0.0011684,0.0011684
44,29878.7,1.81118,1.49503,1.29717,0.71387,0.48256,0.56285,0.25909,1.91144,1.66067,1.40609,0.0011486,0.0011486,0.0011486
45,30568.9,1.7864,1.51951,1.30172,0.60155,0.54942,0.55048,0.25019,1.9333,1.67773,1.42605,0.0011288,0.0011288,0.0011288
46,31258.9,1.74232,1.46223,1.27842,0.67262,0.52326,0.54726,0.23808,1.8881,1.74072,1.38618,0.001109,0.001109,0.001109
47,31943.9,1.77683,1.45801,1.29293,0.69054,0.50581,0.57681,0.25857,1.91819,1.65203,1.40397,0.0010892,0.0010892,0.0010892
48,32640.4,1.76444,1.45518,1.27196,0.67569,0.55523,0.58973,0.27187,1.90782,1.63154,1.39678,0.0010694,0.0010694,0.0010694
49,33322.2,1.76419,1.44174,1.28724,0.69946,0.48837,0.55801,0.23615,2.00589,1.69266,1.47902,0.0010496,0.0010496,0.0010496
50,34012.9,1.74125,1.44102,1.26983,0.71892,0.50581,0.56549,0.25771,1.89035,1.62812,1.40792,0.0010298,0.0010298,0.0010298
51,34701.4,1.75439,1.4396,1.27276,0.67573,0.50872,0.56826,0.25483,1.92591,1.68521,1.39729,0.00101,0.00101,0.00101
52,35388.4,1.7491,1.43911,1.26244,0.68613,0.50837,0.56211,0.256,1.93152,1.66812,1.42175,0.0009902,0.0009902,0.0009902
53,36077.1,1.76695,1.44453,1.27529,0.63286,0.48606,0.52779,0.23958,1.88599,1.7158,1.40085,0.0009704,0.0009704,0.0009704
54,36763.1,1.718,1.41194,1.26962,0.69298,0.4921,0.57276,0.24545,1.939,1.68608,1.43792,0.0009506,0.0009506,0.0009506
55,37450.5,1.72053,1.41907,1.25004,0.65001,0.5436,0.58362,0.24831,1.92538,1.64103,1.44405,0.0009308,0.0009308,0.0009308
56,38139,1.74483,1.37291,1.25677,0.67364,0.48003,0.56377,0.2508,1.9261,1.70677,1.41422,0.000911,0.000911,0.000911
57,38829.8,1.734,1.3924,1.26368,0.63087,0.52326,0.57498,0.2539,1.95824,1.67934,1.43339,0.0008912,0.0008912,0.0008912
58,39521.5,1.71703,1.39791,1.2503,0.64004,0.50654,0.5315,0.24074,1.92693,1.67926,1.40902,0.0008714,0.0008714,0.0008714
59,40210.5,1.69453,1.35325,1.25081,0.72625,0.46512,0.55446,0.23668,1.96609,1.69387,1.44797,0.0008516,0.0008516,0.0008516
60,40902.9,1.70512,1.36038,1.24873,0.61687,0.55233,0.54685,0.24429,1.97666,1.70499,1.43149,0.0008318,0.0008318,0.0008318
61,41591.1,1.71585,1.33254,1.27267,0.67894,0.51163,0.55322,0.24425,1.98982,1.71608,1.46669,0.000812,0.000812,0.000812
62,42280,1.69396,1.34835,1.25868,0.71391,0.50291,0.55147,0.25192,1.93382,1.67786,1.41034,0.0007922,0.0007922,0.0007922
63,42973.7,1.69638,1.32955,1.2568,0.67681,0.51745,0.53817,0.23005,1.99807,1.70637,1.46205,0.0007724,0.0007724,0.0007724
64,43665.5,1.68887,1.30048,1.24622,0.70755,0.53198,0.59097,0.25873,1.98239,1.57805,1.4734,0.0007526,0.0007526,0.0007526
65,44370.5,1.66883,1.32359,1.24436,0.70061,0.4898,0.56126,0.24324,2.00833,1.67305,1.47937,0.0007328,0.0007328,0.0007328
