epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,818.852,2.39519,2.60927,1.69867,0.24452,0.22674,0.15328,0.05296,2.32434,8.5049,1.94414,0.0701948,0.00331169,0.00331169
2,1643.56,2.34937,2.31772,1.68993,0.32826,0.32267,0.24626,0.10529,2.27886,3.74799,1.73925,0.040129,0.00657924,0.00657924
3,2442.81,2.26204,2.24569,1.62816,0.27429,0.24709,0.15697,0.04938,2.22261,5.96804,1.66678,0.00999723,0.00978078,0.00978078
4,3222.59,2.24808,2.30646,1.65601,0.37633,0.39244,0.33777,0.13754,2.15386,2.47213,1.67403,0.009703,0.009703,0.009703
5,4008.21,2.26119,2.2382,1.66052,0.30005,0.1657,0.14949,0.0654,2.21144,3.33909,1.69561,0.009604,0.009604,0.009604
6,4793.47,2.17735,2.19123,1.62677,0.31597,0.22093,0.17644,0.06875,2.44444,2.86384,1.90456,0.009505,0.009505,0.009505
7,5578.52,2.17848,2.14084,1.5823,0.38948,0.26163,0.2516,0.10241,2.3011,2.35849,1.76761,0.009406,0.009406,0.009406
8,6361.66,2.16939,2.11403,1.59746,0.2218,0.24709,0.15498,0.06691,2.16542,2.54948,1.66283,0.009307,0.009307,0.009307
9,7148.69,2.15242,2.09373,1.56586,0.35409,0.26453,0.24002,0.09515,2.34009,2.46146,1.71784,0.009208,0.009208,0.009208
10,7936.41,2.13628,2.13466,1.55901,0.2536,0.14826,0.09725,0.03711,2.41364,2.95679,1.73423,0.009109,0.009109,0.009109
11,8722.08,2.11207,2.09302,1.57454,0.36986,0.34808,0.29919,0.12025,2.209,2.16164,1.70741,0.00901,0.00901,0.00901
12,9508.35,2.0755,2.02691,1.52676,0.43468,0.38372,0.35282,0.15222,2.04294,2.13266,1.57214,0.008911,0.008911,0.008911
13,10294,2.08685,2.06331,1.53771,0.47328,0.37353,0.35551,0.15535,2.09115,2.06226,1.63068,0.008812,0.008812,0.008812
14,11084.9,2.07328,1.96332,1.55369,0.45077,0.38953,0.37399,0.16606,1.99504,2.04464,1.56825,0.008713,0.008713,0.008713
15,11864.7,2.03454,1.95814,1.50047,0.41517,0.31977,0.29282,0.12521,2.00407,2.22555,1.5669,0.008614,0.008614,0.008614
16,12613.8,2.02729,1.88915,1.50587,0.39225,0.30523,0.30019,0.12882,2.16166,2.24272,1.65397,0.008515,0.008515,0.008515
17,13369.8,2.06561,1.94354,1.53496,0.35811,0.23256,0.20058,0.08075,2.28721,2.74251,1.72446,0.008416,0.008416,0.008416
18,14123,2.03748,1.90216,1.50385,0.46986,0.34012,0.32508,0.13599,2.12629,2.34055,1.61164,0.008317,0.008317,0.008317
19,14878,2.08504,1.96106,1.53613,0.27742,0.12209,0.09519,0.03892,2.33304,3.23008,1.71718,0.008218,0.008218,0.008218
20,15635.4,2.05893,1.90463,1.51175,0.43718,0.37033,0.368,0.16184,2.01051,2.08016,1.53902,0.008119,0.008119,0.008119
21,16390.5,1.98769,1.84425,1.44303,0.5235,0.44477,0.43411,0.19105,1.96381,1.89971,1.52105,0.00802,0.00802,0.00802
22,17151.2,1.96851,1.84168,1.45505,0.3835,0.3255,0.27876,0.1078,2.16485,2.34307,1.59917,0.007921,0.007921,0.007921
23,17904,1.99121,1.94067,1.4637,0.51753,0.33365,0.36853,0.17157,1.93484,2.11958,1.5041,0.007822,0.007822,0.007822
24,18658.1,1.97022,1.84861,1.46047,0.37119,0.10465,0.0924,0.03637,2.24278,3.43387,1.67131,0.007723,0.007723,0.007723
25,19412.9,2.03846,1.89629,1.48055,0.30903,0.21221,0.15275,0.07188,2.09401,2.62159,1.58365,0.007624,0.007624,0.007624
26,20163,1.97541,1.85519,1.4716,0.51303,0.42151,0.42177,0.18388,2.02832,1.89299,1.57873,0.007525,0.007525,0.007525
27,20919.1,1.99753,1.87629,1.47113,0.30144,0.20349,0.17833,0.0777,2.11616,2.56171,1.59383,0.007426,0.007426,0.007426
28,21677.8,1.97161,1.8328,1.45225,0.5336,0.35174,0.381,0.16345,2.04171,2.11999,1.57741,0.007327,0.007327,0.007327
29,22428.5,1.94682,1.82853,1.46078,0.39294,0.34884,0.31152,0.12758,2.07244,2.07463,1.61565,0.007228,0.007228,0.007228
30,23189.9,1.93859,1.85135,1.44674,0.5706,0.39535,0.45033,0.20281,1.9425,1.8932,1.50006,0.007129,0.007129,0.007129
31,23944,1.97689,1.82986,1.46377,0.4969,0.39622,0.41069,0.17181,1.98616,2.09465,1.52175,0.00703,0.00703,0.00703
32,24699.6,1.93398,1.79033,1.42768,0.54877,0.46802,0.47519,0.20702,1.95512,1.89139,1.52375,0.006931,0.006931,0.006931
33,25457.3,1.97485,1.81511,1.46924,0.57757,0.4186,0.47416,0.20735,1.96854,1.83423,1.52139,0.006832,0.006832,0.006832
34,26214.5,1.95778,1.79646,1.45126,0.5784,0.4157,0.46427,0.20241,1.95901,1.89233,1.51807,0.006733,0.006733,0.006733
35,26972.1,1.93671,1.76651,1.42856,0.52359,0.36102,0.37981,0.17144,1.98134,2.11317,1.51772,0.006634,0.006634,0.006634
36,27732.1,1.90708,1.71261,1.42094,0.58194,0.50872,0.50861,0.21905,2.0047,1.82421,1.55659,0.006535,0.006535,0.006535
37,28483,1.93795,1.74419,1.43955,0.37955,0.29651,0.28352,0.11249,2.15521,2.34617,1.61659,0.006436,0.006436,0.006436
38,29213,1.93355,1.72561,1.43694,0.56936,0.44186,0.48739,0.22472,1.93573,1.81837,1.51366,0.006337,0.006337,0.006337
39,29940.2,1.92558,1.76082,1.43766,0.37632,0.22384,0.21137,0.08682,2.17565,2.66233,1.65838,0.006238,0.006238,0.006238
40,30669.9,1.92746,1.75929,1.43128,0.55845,0.42733,0.45906,0.19725,1.96609,1.87312,1.52504,0.006139,0.006139,0.006139
41,31398.1,1.91106,1.74972,1.40807,0.58454,0.43895,0.4611,0.20615,1.94418,1.84179,1.4949,0.00604,0.00604,0.00604
42,32126.8,1.88241,1.72634,1.43428,0.47287,0.23547,0.27603,0.12929,2.07718,2.56526,1.60852,0.005941,0.005941,0.005941
